,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,13918379517.0,13770509989.0,14895053869.0,14692334776.0
Share Issued,13918379517.0,13770509989.0,14895053869.0,14692334776.0
Total Debt,30423000000.0,707689000000.0,27902000000.0,0.0
Tangible Book Value,3007902000000.0,3091738000000.0,1040724000000.0,641189000000.0
Invested Capital,,3827276000000.0,,
Net Tangible Assets,3007902000000.0,3091738000000.0,1040724000000.0,641189000000.0
Common Stock Equity,3085241000000.0,3143276000000.0,1046327000000.0,641274000000.0
Total Capitalization,,3827276000000.0,,
Total Equity Gross Minority Interest,3085241000000.0,3143276000000.0,1046327000000.0,641274000000.0
Stockholders Equity,3085241000000.0,3143276000000.0,1046327000000.0,641274000000.0
Other Equity Interest,,1363862000000.0,2684000000.0,
Retained Earnings,-791648000000.0,-564910000000.0,-299997000000.0,-178722000000.0
Additional Paid In Capital,965669000000.0,964190000000.0,10870000000.0,0.0
Capital Stock,1391838000000.0,1377051000000.0,1324135000000.0,819307000000.0
Common Stock,1391838000000.0,1377051000000.0,1324135000000.0,819307000000.0
Total Liabilities Net Minority Interest,4006879000000.0,1590125000000.0,1126835000000.0,80123000000.0
Long Term Debt And Capital Lease Obligation,30423000000.0,707689000000.0,27902000000.0,0.0
Payables,6973000000.0,6066000000.0,3042000000.0,640000000.0
Total Tax Payable,6973000000.0,6066000000.0,3042000000.0,640000000.0
Total Assets,7092120000000.0,4733401000000.0,2173162000000.0,721397000000.0
Investments And Advances,1403362000000.0,1217062000000.0,898024000000.0,608728000000.0
Investmentin Financial Assets,1403362000000.0,1217062000000.0,898024000000.0,608728000000.0
Available For Sale Securities,1403362000000.0,1217062000000.0,898024000000.0,608728000000.0
Goodwill And Other Intangible Assets,77339000000.0,51538000000.0,5603000000.0,85000000.0
Other Intangible Assets,77339000000.0,51538000000.0,5603000000.0,85000000.0
Net PPE,47367000000.0,45177000000.0,51114000000.0,12630000000.0
Accumulated Depreciation,-30572000000.0,-28560000000.0,-28029000000.0,-19739000000.0
Gross PPE,77939000000.0,73737000000.0,79143000000.0,32369000000.0
Construction In Progress,251000000.0,525000000.0,247000000.0,
Other Properties,4388000000.0,4129000000.0,4939000000.0,1732000000.0
Machinery Furniture Equipment,23788000000.0,22436000000.0,31513000000.0,23522000000.0
Buildings And Improvements,49512000000.0,46647000000.0,42444000000.0,7115000000.0
Prepaid Assets,284060000000.0,235775000000.0,48465000000.0,36645000000.0
Receivables,27852000000.0,15321000000.0,2324000000.0,1259000000.0
Cash And Cash Equivalents,2191278000000.0,1822574000000.0,1161117000000.0,59348000000.0
Cash Financial,1013000000.0,651000000.0,224000000.0,182000000.0
