,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,40514600.0,49365200.0,49365200.0,39159400.0
Ordinary Shares Number,37216283716.0,37247947716.0,37247947716.0,37218994116.0
Share Issued,37216283716.0,37297312916.0,37297312916.0,37258153516.0
Total Debt,46291278000000.0,52843998000000.0,49212649000000.0,43596843000000.0
Tangible Book Value,149386591000000.0,135063404000000.0,123738372000000.0,110192520000000.0
Invested Capital,195134923000000.0,187513586000000.0,171669445000000.0,152519287000000.0
Net Tangible Assets,149386591000000.0,135063404000000.0,123738372000000.0,110192520000000.0
Common Stock Equity,150131014000000.0,135815715000000.0,123738372000000.0,110192520000000.0
Total Capitalization,195134923000000.0,187513586000000.0,171669445000000.0,152519287000000.0
Total Equity Gross Minority Interest,154732520000000.0,140197662000000.0,126519977000000.0,112872199000000.0
Minority Interest,4601506000000.0,4381947000000.0,2781605000000.0,2679679000000.0
Stockholders Equity,150131014000000.0,135815715000000.0,123738372000000.0,110192520000000.0
Other Equity Interest,2517115000000.0,2256999000000.0,2256999000000.0,2256999000000.0
Fixed Assets Revaluation Reserve,15447829000000.0,15441439000000.0,15442025000000.0,14962961000000.0
Treasury Stock,179960000000.0,0.0,207475000000.0,79449000000.0
Retained Earnings,104457102000000.0,91281328000000.0,75471792000000.0,64202289000000.0
Additional Paid In Capital,17010254000000.0,17010254000000.0,17010254000000.0,14568468000000.0
Capital Stock,9054807000000.0,9054807000000.0,9054807000000.0,9054807000000.0
Common Stock,9054807000000.0,9054807000000.0,9054807000000.0,9054807000000.0
Total Liabilities Net Minority Interest,931931466000000.0,889639206000000.0,838317715000000.0,778465226000000.0
Derivative Product Liabilities,,775131000000.0,109948000000.0,414280000000.0
Long Term Debt And Capital Lease Obligation,46291278000000.0,52843998000000.0,49212649000000.0,43596843000000.0
Payables,3943700000000.0,3712295000000.0,2269192000000.0,3099213000000.0
Other Payable,810462000000.0,775131000000.0,236511000000.0,1285278000000.0
Total Tax Payable,1234211000000.0,1789342000000.0,1493835000000.0,1391263000000.0
Accounts Payable,1899027000000.0,1147822000000.0,538846000000.0,422672000000.0
Total Assets,1086663986000000.0,1029836868000000.0,964837692000000.0,891337425000000.0
Investments And Advances,176110770000000.0,160504722000000.0,146749461000000.0,121159002000000.0
Investmentin Financial Assets,164263604000000.0,149846950000000.0,137231292000000.0,120345915000000.0
Available For Sale Securities,151794010000000.0,140896023000000.0,127659064000000.0,113134157000000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,12469594000000.0,8950927000000.0,9572228000000.0,7211758000000.0
Trading Securities,,,,29686597000000.0
Long Term Equity Investment,11847166000000.0,10657772000000.0,9518169000000.0,813087000000.0
Investments In Other Ventures Under Equity Method,563700000000.0,608797000000.0,829763000000.0,813087000000.0
Investmentsin Associatesat Cost,11283466000000.0,10048975000000.0,8688406000000.0,0.0
Goodwill And Other Intangible Assets,744423000000.0,752311000000.0,0.0,
Other Intangible Assets,16637000000.0,24525000000.0,,
Goodwill,727786000000.0,727786000000.0,0.0,
Net PPE,27764856000000.0,26548893000000.0,26882982000000.0,27362400000000.0
Accumulated Depreciation,-16922994000000.0,-15206565000000.0,-12951582000000.0,-11595845000000.0
Gross PPE,44687850000000.0,41755458000000.0,39834564000000.0,38958245000000.0
Construction In Progress,1239297000000.0,707409000000.0,521525000000.0,1011868000000.0
Other Properties,,,104863000000.0,259315000000.0
Machinery Furniture Equipment,15253570000000.0,14033023000000.0,12852068000000.0,12785902000000.0
Buildings And Improvements,11830614000000.0,10991689000000.0,10492068000000.0,9136745000000.0
Land And Improvements,16364369000000.0,16023337000000.0,15968903000000.0,16023730000000.0
Prepaid Assets,3386714000000.0,3887183000000.0,4147116000000.0,3856879000000.0
Receivables,31039174000000.0,32060081000000.0,28499723000000.0,29519950000000.0
Cash And Cash Equivalents,157821066000000.0,163861265000000.0,174226040000000.0,129826795000000.0
Cash Equivalents,0.0,200000000000.0,,980323000000.0
Cash Financial,11207201000000.0,13448092000000.0,13683598000000.0,17324047000000.0
