,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,14034444413.0,10590000000.0,11920263782.0,11920263782.0
Share Issued,14034444413.0,10590000000.0,11920263782.0,11920263782.0
Net Debt,,1106545000000.0,1965534000000.0,14229184000000.0
Total Debt,51333720000000.0,42799117000000.0,43320091000000.0,50025487000000.0
Tangible Book Value,30479152000000.0,25909354000000.0,21406647000000.0,19987845000000.0
Invested Capital,81626176000000.0,68540838000000.0,64600390000000.0,69799881000000.0
Net Tangible Assets,30479152000000.0,25909354000000.0,21406647000000.0,19987845000000.0
Common Stock Equity,30479152000000.0,25909354000000.0,21406647000000.0,19987845000000.0
Total Capitalization,81626176000000.0,68540838000000.0,64600390000000.0,69799881000000.0
Total Equity Gross Minority Interest,30479152000000.0,25909354000000.0,21406647000000.0,19987845000000.0
Stockholders Equity,30479152000000.0,25909354000000.0,21406647000000.0,19987845000000.0
Fixed Assets Revaluation Reserve,3565773000000.0,3508565000000.0,3307991000000.0,3307991000000.0
Retained Earnings,3657729000000.0,3201813000000.0,2532966000000.0,1759096000000.0
Additional Paid In Capital,4418900000000.0,2054454000000.0,2054454000000.0,2054454000000.0
Capital Stock,7017222000000.0,5295000000000.0,5295000000000.0,5295000000000.0
Common Stock,7017222000000.0,5295000000000.0,5295000000000.0,5295000000000.0
Total Liabilities Net Minority Interest,408270584000000.0,376238958000000.0,350461664000000.0,341220561000000.0
Long Term Debt And Capital Lease Obligation,51333720000000.0,42799117000000.0,43320091000000.0,50025487000000.0
Payables,3729340000000.0,3757427000000.0,4101571000000.0,5318909000000.0
Other Payable,2384802000000.0,2534231000000.0,3158056000000.0,4095143000000.0
Total Tax Payable,689787000000.0,591196000000.0,440479000000.0,485357000000.0
Accounts Payable,654751000000.0,632000000000.0,503036000000.0,738409000000.0
Total Assets,438749736000000.0,402148312000000.0,371868311000000.0,361208406000000.0
Investments And Advances,41176899000000.0,53685742000000.0,48311203000000.0,59491717000000.0
Investmentin Financial Assets,41176899000000.0,53685742000000.0,48311203000000.0,59491717000000.0
Available For Sale Securities,36338446000000.0,33300712000000.0,33042041000000.0,38511367000000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,4838453000000.0,20385030000000.0,15269162000000.0,20980350000000.0
Net PPE,8117812000000.0,6353803000000.0,5736791000000.0,5818445000000.0
Accumulated Depreciation,-4835934000000.0,-4246045000000.0,-3731864000000.0,-3234737000000.0
Gross PPE,12953746000000.0,10599848000000.0,9468655000000.0,9053182000000.0
Construction In Progress,1634202000000.0,69685000000.0,71689000000.0,56662000000.0
Other Properties,217057000000.0,154296000000.0,67520000000.0,82950000000.0
Machinery Furniture Equipment,4111287000000.0,3673813000000.0,3188072000000.0,2891976000000.0
Buildings And Improvements,2443019000000.0,2295911000000.0,2159843000000.0,2051202000000.0
Land And Improvements,4548181000000.0,4406143000000.0,3981531000000.0,3970392000000.0
Prepaid Assets,698200000000.0,505346000000.0,770353000000.0,789276000000.0
Receivables,13432359000000.0,11894289000000.0,10094878000000.0,7361901000000.0
Cash And Cash Equivalents,53035966000000.0,41524939000000.0,41228209000000.0,35582852000000.0
Cash Financial,2127489000000.0,1661533000000.0,1539577000000.0,1429426000000.0
