,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,12038815679.0,12038815679.0,10090302185.0,7374178337.0
Share Issued,12038815679.0,12038815679.0,10090302185.0,7374178337.0
Total Debt,52821000000.0,50534000000.0,57928000000.0,5656675220.0
Tangible Book Value,3178253000000.0,3617241000000.0,2792213000000.0,1119433597129.0
Net Tangible Assets,3178253000000.0,3617241000000.0,2792213000000.0,1119433597129.0
Common Stock Equity,3323039000000.0,3744590000000.0,2889827000000.0,1120619280316.0
Total Equity Gross Minority Interest,3323039000000.0,3744590000000.0,2889827000000.0,1120619280316.0
Stockholders Equity,3323039000000.0,3744590000000.0,2889827000000.0,1120619280316.0
Fixed Assets Revaluation Reserve,46403000000.0,46709000000.0,47026000000.0,41434009072.0
Retained Earnings,-2316811000000.0,-1745466000000.0,-953746000000.0,33920511357.0
Additional Paid In Capital,4253905000000.0,2825444000000.0,2827225000000.0,350501792712.0
Capital Stock,1203882000000.0,942168000000.0,942168000000.0,666179523900.0
Common Stock,1203882000000.0,942168000000.0,942168000000.0,666179523900.0
Total Liabilities Net Minority Interest,14846502000000.0,15949690000000.0,8447982000000.0,4300705118122.0
Long Term Debt And Capital Lease Obligation,52821000000.0,50534000000.0,57928000000.0,5656675220.0
Payables,107557000000.0,91386000000.0,44342000000.0,17401314572.0
Other Payable,2061000000.0,2524000000.0,484000000.0,188586270.0
Total Tax Payable,21868000000.0,21710000000.0,9707000000.0,5088137337.0
Accounts Payable,83628000000.0,67152000000.0,34151000000.0,12124590965.0
Total Assets,18169541000000.0,19694280000000.0,11337809000000.0,5421324398438.0
Investments And Advances,3348082000000.0,3485876000000.0,1170999000000.0,253230368200.0
Investmentin Financial Assets,3348082000000.0,3485876000000.0,1170999000000.0,253230368200.0
Available For Sale Securities,3348082000000.0,3485876000000.0,1170999000000.0,253230368200.0
Trading Securities,,,,253230368200.0
Goodwill And Other Intangible Assets,144786000000.0,127349000000.0,97614000000.0,1185683187.0
Other Intangible Assets,144786000000.0,127349000000.0,97614000000.0,1185683187.0
Net PPE,315370000000.0,292415000000.0,194121000000.0,108803796324.0
Accumulated Depreciation,-128814000000.0,-95176000000.0,-128798000000.0,-111850134652.0
Gross PPE,444184000000.0,387591000000.0,322919000000.0,220653930976.0
Construction In Progress,1528000000.0,5225000000.0,0.0,
Other Properties,16275000000.0,14656000000.0,17313000000.0,17762606062.0
Machinery Furniture Equipment,170111000000.0,137843000000.0,83827000000.0,58911178248.0
Buildings And Improvements,148933000000.0,123050000000.0,165884000000.0,92900146666.0
Land And Improvements,107337000000.0,106817000000.0,55895000000.0,51080000000.0
Prepaid Assets,110071000000.0,140789000000.0,153703000000.0,155530595328.0
Receivables,691146000000.0,706541000000.0,571794000000.0,56673245647.0
Cash And Cash Equivalents,2614629000000.0,4596116000000.0,2402288000000.0,354678657185.0
Cash Financial,12958000000.0,16681000000.0,21270000000.0,25728367191.0
