,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,0.0,,70800000.0,70800000.0
Ordinary Shares Number,93333333332.0,93333333332.0,93262533332.0,93262533332.0
Share Issued,93333333332.0,93333333332.0,93333333332.0,93333333332.0
Total Debt,134256304000000.0,107146082000000.0,94433066000000.0,89537582000000.0
Tangible Book Value,254978186000000.0,224585177000000.0,199574853000000.0,184833025000000.0
Invested Capital,394114120000000.0,335956834000000.0,298073398000000.0,278217768000000.0
Net Tangible Assets,254978186000000.0,224585177000000.0,199574853000000.0,184833025000000.0
Common Stock Equity,260852784000000.0,229678786000000.0,204686612000000.0,189378464000000.0
Total Capitalization,394114120000000.0,335956834000000.0,298073398000000.0,278217768000000.0
Total Equity Gross Minority Interest,287494962000000.0,252245455000000.0,222111282000000.0,204699668000000.0
Minority Interest,26642178000000.0,22566669000000.0,17424670000000.0,15321204000000.0
Stockholders Equity,260852784000000.0,229678786000000.0,204686612000000.0,189378464000000.0
Other Equity Interest,-97202000000.0,-97202000000.0,-106001000000.0,-106001000000.0
Fixed Assets Revaluation Reserve,34716693000000.0,34716693000000.0,30140345000000.0,30115479000000.0
Treasury Stock,,0.0,150895000000.0,150895000000.0
Retained Earnings,191923489000000.0,161606164000000.0,137207666000000.0,114176507000000.0
Additional Paid In Capital,17643264000000.0,17643264000000.0,17643264000000.0,17316192000000.0
Capital Stock,11666667000000.0,11666667000000.0,11666667000000.0,11666667000000.0
Common Stock,11666667000000.0,11666667000000.0,11666667000000.0,11666667000000.0
Total Liabilities Net Minority Interest,1886724487000000.0,1740299232000000.0,1503499846000000.0,1337264899000000.0
Derivative Product Liabilities,,2126769000000.0,1018751000000.0,1570506000000.0
Long Term Debt And Capital Lease Obligation,134256304000000.0,107146082000000.0,94433066000000.0,89537582000000.0
Payables,17451933000000.0,13747008000000.0,8358979000000.0,7673323000000.0
Other Payable,4430807000000.0,4638897000000.0,2679311000000.0,3681506000000.0
Total Tax Payable,2887676000000.0,3735675000000.0,2966918000000.0,2059214000000.0
Accounts Payable,10133450000000.0,5372436000000.0,2712750000000.0,1932603000000.0
Total Assets,2174219449000000.0,1992544687000000.0,1725611128000000.0,1541964567000000.0
Investments And Advances,405558709000000.0,414706471000000.0,389590837000000.0,271563935000000.0
Investmentin Financial Assets,403731345000000.0,412017517000000.0,387158444000000.0,269313918000000.0
Held To Maturity Securities,,,,0.0
Available For Sale Securities,309836398000000.0,321638269000000.0,303539118000000.0,198171636000000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,59353135000000.0,46166068000000.0,50027178000000.0,43457691000000.0
Long Term Equity Investment,1827364000000.0,2688954000000.0,2432393000000.0,2250017000000.0
Goodwill And Other Intangible Assets,5874598000000.0,5093609000000.0,5111759000000.0,4545439000000.0
Other Intangible Assets,5087132000000.0,4306143000000.0,4324293000000.0,4545439000000.0
Goodwill,787466000000.0,787466000000.0,787466000000.0,
Net PPE,57977707000000.0,56540566000000.0,49144792000000.0,48306843000000.0
Accumulated Depreciation,-24337324000000.0,-21429332000000.0,-18358475000000.0,-16015645000000.0
Gross PPE,82315031000000.0,77969898000000.0,67503267000000.0,64322488000000.0
Construction In Progress,4438613000000.0,3121729000000.0,3799035000000.0,2828546000000.0
Other Properties,1559783000000.0,1308682000000.0,1138142000000.0,771040000000.0
Machinery Furniture Equipment,15646275000000.0,15207830000000.0,14070299000000.0,13651845000000.0
Buildings And Improvements,19252635000000.0,16974777000000.0,12792782000000.0,11393687000000.0
Land And Improvements,41417725000000.0,41356880000000.0,35703009000000.0,35677370000000.0
Prepaid Assets,3156321000000.0,3060428000000.0,3543976000000.0,3805193000000.0
Receivables,50496429000000.0,53661899000000.0,44946035000000.0,46202927000000.0
Cash And Cash Equivalents,249396176000000.0,277848602000000.0,196299888000000.0,187281575000000.0
Cash Financial,26431740000000.0,27212759000000.0,23948485000000.0,26225089000000.0
