,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,107167682.0,198482882.0,201892882.0,203949749.0
Ordinary Shares Number,25024439161.0,24933123961.0,24929713961.0,24927657094.0
Share Issued,25131606843.0,25131606843.0,25131606843.0,25131606843.0
Total Debt,8831174000000.0,6704803000000.0,9723683000000.0,9212325000000.0
Tangible Book Value,47117888000000.0,43115070000000.0,41343900000000.0,39273729000000.0
Invested Capital,57934390000000.0,51650548000000.0,52687162000000.0,50026660000000.0
Net Tangible Assets,47117888000000.0,43115070000000.0,41343900000000.0,39273729000000.0
Common Stock Equity,49192544000000.0,45191890000000.0,43377122000000.0,41038939000000.0
Total Capitalization,57934390000000.0,51650548000000.0,52687162000000.0,50026660000000.0
Total Equity Gross Minority Interest,49337371000000.0,45276263000000.0,43388358000000.0,41053051000000.0
Minority Interest,144827000000.0,84373000000.0,11236000000.0,14112000000.0
Stockholders Equity,49192544000000.0,45191890000000.0,43377122000000.0,41038939000000.0
Other Equity Interest,101400000000.0,101382000000.0,79302000000.0,60707000000.0
Fixed Assets Revaluation Reserve,4181209000000.0,4180033000000.0,3422692000000.0,3515604000000.0
Treasury Stock,135104000000.0,249459000000.0,252477000000.0,253832000000.0
Retained Earnings,36892257000000.0,33311417000000.0,30668803000000.0,27573929000000.0
Additional Paid In Capital,7068257000000.0,7033450000000.0,7033450000000.0,7033450000000.0
Capital Stock,1612257000000.0,1612257000000.0,1612257000000.0,1612257000000.0
Common Stock,1612257000000.0,1612257000000.0,1612257000000.0,1612257000000.0
Total Liabilities Net Minority Interest,285031862000000.0,261478036000000.0,267398602000000.0,239890554000000.0
Derivative Product Liabilities,540051000000.0,701179000000.0,294659000000.0,738351000000.0
Long Term Debt And Capital Lease Obligation,8831174000000.0,6704803000000.0,9723683000000.0,9212325000000.0
Payables,714425000000.0,712884000000.0,820378000000.0,858954000000.0
Other Payable,,701179000000.0,294659000000.0,738351000000.0
Total Tax Payable,434853000000.0,524343000000.0,584187000000.0,301192000000.0
Accounts Payable,279572000000.0,188541000000.0,236191000000.0,557762000000.0
Total Assets,334369233000000.0,306754299000000.0,310786960000000.0,280943605000000.0
Investments And Advances,80381130000000.0,65981658000000.0,71609426000000.0,66501930000000.0
Investmentin Financial Assets,80377471000000.0,65977999000000.0,71605767000000.0,66498271000000.0
Held To Maturity Securities,,,0.0,0.0
Available For Sale Securities,61708953000000.0,56470632000000.0,64869871000000.0,56847671000000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,17819504000000.0,8538059000000.0,5826815000000.0,8291314000000.0
Trading Securities,,,,8291314000000.0
Long Term Equity Investment,3659000000.0,3659000000.0,3659000000.0,3659000000.0
Goodwill And Other Intangible Assets,2074656000000.0,2076820000000.0,2033222000000.0,1765210000000.0
Other Intangible Assets,2074656000000.0,2076820000000.0,2033222000000.0,1765210000000.0
Net PPE,6774736000000.0,7047668000000.0,6622810000000.0,6989721000000.0
Accumulated Depreciation,-2788591000000.0,-2696685000000.0,-2651075000000.0,-2437644000000.0
Gross PPE,9563327000000.0,9744353000000.0,9273885000000.0,9427365000000.0
Construction In Progress,185638000000.0,381525000000.0,386856000000.0,795004000000.0
Other Properties,29807000000.0,70423000000.0,70264000000.0,79638000000.0
Machinery Furniture Equipment,2761732000000.0,2736142000000.0,2804138000000.0,2860280000000.0
Buildings And Improvements,2983451000000.0,2964266000000.0,2961988000000.0,2668186000000.0
Land And Improvements,3602699000000.0,3591997000000.0,3050639000000.0,3024257000000.0
Prepaid Assets,3124178000000.0,2504561000000.0,2599988000000.0,2955336000000.0
Receivables,8411564000000.0,7900664000000.0,5609940000000.0,5348207000000.0
Cash And Cash Equivalents,24381896000000.0,32074500000000.0,47039660000000.0,28076236000000.0
Cash Financial,3928446000000.0,5439398000000.0,4548210000000.0,4777284000000.0
