,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,46129260138.0,46129260138.0,42170547482.0,10151152526.0
Share Issued,46129260138.0,46129260138.0,42170547482.0,10151152526.0
Total Debt,1104265000000.0,2346852000000.0,1679130000000.0,1555927000000.0
Tangible Book Value,37610787000000.0,33505610000000.0,25013934000000.0,21743145000000.0
Invested Capital,39720193000000.0,35686460000000.0,26403963000000.0,23118145000000.0
Net Tangible Assets,37610787000000.0,33505610000000.0,25013934000000.0,21743145000000.0
Common Stock Equity,38739121000000.0,33505610000000.0,25013934000000.0,21743145000000.0
Total Capitalization,39720193000000.0,35686460000000.0,26403963000000.0,23118145000000.0
Total Equity Gross Minority Interest,38739121000000.0,33505610000000.0,25013934000000.0,21743145000000.0
Stockholders Equity,38739121000000.0,33505610000000.0,25013934000000.0,21743145000000.0
Other Equity Interest,,,,3045000000.0
Fixed Assets Revaluation Reserve,444530000000.0,444530000000.0,444530000000.0,395725000000.0
Retained Earnings,16674732000000.0,12327446000000.0,9429956000000.0,6650013000000.0
Additional Paid In Capital,-3929100000000.0,-3929100000000.0,-6366776000000.0,0.0
Capital Stock,23064630000000.0,23064630000000.0,20564654000000.0,14045605000000.0
Common Stock,23064630000000.0,23064630000000.0,20564654000000.0,14045605000000.0
Total Liabilities Net Minority Interest,314885003000000.0,272221828000000.0,240275147000000.0,217838379000000.0
Long Term Debt And Capital Lease Obligation,1104265000000.0,2346852000000.0,1679130000000.0,1555927000000.0
Payables,1020102000000.0,1092577000000.0,797778000000.0,750542000000.0
Other Payable,284286000000.0,279939000000.0,189498000000.0,140117000000.0
Total Tax Payable,735816000000.0,812638000000.0,608280000000.0,610425000000.0
Total Assets,353624124000000.0,305727438000000.0,265289081000000.0,239581524000000.0
Investments And Advances,71169020000000.0,57680700000000.0,67374284000000.0,49016418000000.0
Investmentin Financial Assets,71169020000000.0,57680700000000.0,67374284000000.0,49016418000000.0
Available For Sale Securities,66275136000000.0,56759376000000.0,64789754000000.0,48978137000000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,4893884000000.0,921324000000.0,2584530000000.0,38281000000.0
Trading Securities,,,61781998000000.0,48925251000000.0
Goodwill And Other Intangible Assets,1128334000000.0,,,158202000000.0
Other Intangible Assets,1128334000000.0,,,158202000000.0
Net PPE,7542950000000.0,7139271000000.0,4957518000000.0,4906536000000.0
Accumulated Depreciation,-4657047000000.0,-4433855000000.0,-4668589000000.0,-3901839000000.0
Gross PPE,12199997000000.0,11573126000000.0,9626107000000.0,8808375000000.0
Construction In Progress,828039000000.0,535011000000.0,432853000000.0,207098000000.0
Other Properties,564137000000.0,811941000000.0,852144000000.0,886353000000.0
Machinery Furniture Equipment,4264895000000.0,4477304000000.0,3540156000000.0,3367313000000.0
Buildings And Improvements,4098085000000.0,3378244000000.0,3155001000000.0,2769275000000.0
Land And Improvements,2444841000000.0,2370626000000.0,1645953000000.0,1578336000000.0
Prepaid Assets,1194999000000.0,759473000000.0,483399000000.0,518665000000.0
Receivables,1875576000000.0,1547907000000.0,1208200000000.0,947918000000.0
Cash And Cash Equivalents,40047306000000.0,39260070000000.0,26576898000000.0,33430321000000.0
Cash Financial,5255841000000.0,4951469000000.0,4119903000000.0,3180739000000.0
