,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,11740923365.0,11740923365.0,12145610865.0,12145610865.0
Share Issued,11740923365.0,11740923365.0,12145610865.0,12145610865.0
Total Debt,2979219000000.0,1929933000000.0,369338000000.0,372832000000.0
Tangible Book Value,21755443000000.0,20633680000000.0,19144464000000.0,18208150000000.0
Invested Capital,24714671000000.0,22539893000000.0,19479514000000.0,18539150000000.0
Net Tangible Assets,21755443000000.0,20633680000000.0,19144464000000.0,18208150000000.0
Common Stock Equity,21755443000000.0,20633680000000.0,19144464000000.0,18208150000000.0
Total Capitalization,24714671000000.0,22539893000000.0,19479514000000.0,18539150000000.0
Total Equity Gross Minority Interest,21755443000000.0,20633680000000.0,19144464000000.0,18208150000000.0
Stockholders Equity,21755443000000.0,20633680000000.0,19144464000000.0,18208150000000.0
Retained Earnings,6221696000000.0,5272162000000.0,10473226000000.0,8331574000000.0
Additional Paid In Capital,6347491000000.0,6347491000000.0,2048761000000.0,2048761000000.0
Capital Stock,5870462000000.0,5870462000000.0,3481888000000.0,3481888000000.0
Common Stock,5870462000000.0,5870462000000.0,3481888000000.0,3481888000000.0
Total Liabilities Net Minority Interest,110294148000000.0,121116769000000.0,113734926000000.0,93994503000000.0
Derivative Product Liabilities,,66818000000.0,27895000000.0,
Long Term Debt And Capital Lease Obligation,2979219000000.0,1929933000000.0,369338000000.0,372832000000.0
Payables,283924000000.0,388419000000.0,238045000000.0,278027000000.0
Other Payable,18931000000.0,66818000000.0,27895000000.0,47150000000.0
Total Tax Payable,59596000000.0,143076000000.0,110754000000.0,19469000000.0
Accounts Payable,205397000000.0,178525000000.0,127291000000.0,211408000000.0
Total Assets,132049591000000.0,141750449000000.0,132879390000000.0,112202653000000.0
Investments And Advances,37624588000000.0,39177026000000.0,25687267000000.0,27564329000000.0
Investmentin Financial Assets,37624588000000.0,39177026000000.0,25687267000000.0,27564329000000.0
Held To Maturity Securities,,,,0.0
Available For Sale Securities,35467876000000.0,37657009000000.0,24829368000000.0,26621021000000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,2156712000000.0,1520017000000.0,857899000000.0,943308000000.0
Net PPE,6197758000000.0,6366743000000.0,5655825000000.0,5832815000000.0
Accumulated Depreciation,-1924127000000.0,-1632305000000.0,-1938277000000.0,-1682622000000.0
Gross PPE,8121885000000.0,7999048000000.0,7594102000000.0,7515437000000.0
Construction In Progress,17998000000.0,5505000000.0,8019000000.0,12639000000.0
Other Properties,146494000000.0,146525000000.0,140895000000.0,142212000000.0
Machinery Furniture Equipment,1408010000000.0,1350274000000.0,1315737000000.0,1273414000000.0
Buildings And Improvements,2725390000000.0,2681754000000.0,2589153000000.0,2546874000000.0
Land And Improvements,3823993000000.0,3814990000000.0,3540298000000.0,3540298000000.0
Prepaid Assets,30330000000.0,30298000000.0,240050000000.0,194934000000.0
Receivables,1444130000000.0,1348532000000.0,1128001000000.0,1362202000000.0
Cash And Cash Equivalents,11695840000000.0,19537064000000.0,17611231000000.0,7710273000000.0
Cash Financial,855222000000.0,901616000000.0,900919000000.0,969421000000.0
