,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,22945296972.0,22945296972.0,22945296972.0,22945296972.0
Share Issued,22945296972.0,22945296972.0,22945296972.0,22945296972.0
Total Debt,3102653000000.0,5205632000000.0,5135629000000.0,6049225000000.0
Tangible Book Value,37319892000000.0,34210774000000.0,32327373000000.0,29829213000000.0
Invested Capital,40395491000000.0,39405189000000.0,37452618000000.0,35860390000000.0
Net Tangible Assets,37319892000000.0,34210774000000.0,32327373000000.0,29829213000000.0
Common Stock Equity,37319892000000.0,34210774000000.0,32327373000000.0,29829213000000.0
Total Capitalization,40395491000000.0,39405189000000.0,37452618000000.0,35860390000000.0
Total Equity Gross Minority Interest,37320268000000.0,34211035000000.0,32327571000000.0,29829316000000.0
Minority Interest,376000000.0,261000000.0,198000000.0,103000000.0
Stockholders Equity,37319892000000.0,34210774000000.0,32327373000000.0,29829213000000.0
Fixed Assets Revaluation Reserve,1635998000000.0,1586802000000.0,1586802000000.0,1474128000000.0
Retained Earnings,27751530000000.0,24984692000000.0,22144572000000.0,19644210000000.0
Additional Paid In Capital,5395280000000.0,5395280000000.0,5395280000000.0,5395280000000.0
Capital Stock,2868162000000.0,2868162000000.0,2868162000000.0,2868162000000.0
Common Stock,2868162000000.0,2868162000000.0,2868162000000.0,2868162000000.0
Total Liabilities Net Minority Interest,212436871000000.0,204287525000000.0,182068037000000.0,176467884000000.0
Long Term Debt And Capital Lease Obligation,3102653000000.0,5205632000000.0,5135629000000.0,6049225000000.0
Payables,3370005000000.0,2803363000000.0,2287673000000.0,2786378000000.0
Other Payable,2470848000000.0,2189674000000.0,1626511000000.0,2011610000000.0
Total Tax Payable,429224000000.0,276399000000.0,340620000000.0,350464000000.0
Accounts Payable,469933000000.0,337290000000.0,320542000000.0,424304000000.0
Total Assets,249757139000000.0,238498560000000.0,214395608000000.0,206297200000000.0
Investments And Advances,56610686000000.0,51175850000000.0,81673409000000.0,48287441000000.0
Investmentin Financial Assets,56610686000000.0,51175850000000.0,81673409000000.0,48287441000000.0
Available For Sale Securities,50049391000000.0,48624208000000.0,78977543000000.0,43954442000000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,6561295000000.0,2551642000000.0,2695866000000.0,4332999000000.0
Net PPE,3904957000000.0,3763011000000.0,3237706000000.0,3001632000000.0
Accumulated Depreciation,-1710203000000.0,-1431061000000.0,-1188836000000.0,-1079551000000.0
Gross PPE,5615160000000.0,5194072000000.0,4426542000000.0,4081183000000.0
Construction In Progress,32753000000.0,88999000000.0,366952000000.0,173050000000.0
Other Properties,24419000000.0,28526000000.0,32504000000.0,48681000000.0
Machinery Furniture Equipment,2081329000000.0,1719342000000.0,1331324000000.0,1318860000000.0
Buildings And Improvements,1576561000000.0,1486374000000.0,872863000000.0,784841000000.0
Land And Improvements,1900098000000.0,1870831000000.0,1822899000000.0,1755751000000.0
Prepaid Assets,441373000000.0,441163000000.0,410161000000.0,525542000000.0
Receivables,3046667000000.0,2160733000000.0,2531901000000.0,2388290000000.0
Cash And Cash Equivalents,10751366000000.0,14627621000000.0,12575400000000.0,11860978000000.0
Cash Financial,972535000000.0,1355048000000.0,1008415000000.0,1121079000000.0
