,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-82934129.944529,7072645.388682,151800000.0,0.0
Tax Rate For Calcs,0.226596,0.22102,0.22,0.0
Total Unusual Items,-366000000.0,32000000.0,690000000.0,-2101000000.0
Total Unusual Items Excluding Goodwill,-366000000.0,32000000.0,690000000.0,-2101000000.0
Net Income From Continuing Operation Net Minority Interest,72362000000.0,15913000000.0,86024000000.0,-189567000000.0
Reconciled Depreciation,176293000000.0,99639000000.0,49006000000.0,8348000000.0
Net Interest Income,1328888000000.0,823824000000.0,463064000000.0,64644000000.0
Interest Expense,289923000000.0,138844000000.0,62476000000.0,25427000000.0
Interest Income,1618811000000.0,962668000000.0,525540000000.0,90071000000.0
Normalized Income,72645065870.05547,15888072645.388681,85485800000.0,-187466000000.0
Net Income From Continuing And Discontinued Operation,72362000000.0,15913000000.0,86024000000.0,-189567000000.0
Diluted Average Shares,,13856250000.0,13277410898.0,10165535464.0
Basic Average Shares,,13856250000.0,13277410898.0,10165535464.0
Diluted EPS,,1.15,6.48,-18.651595
Basic EPS,,1.15,6.48,-18.651595
Diluted NI Availto Com Stockholders,72362000000.0,15913000000.0,86024000000.0,-189567000000.0
Net Income Common Stockholders,72362000000.0,15913000000.0,86024000000.0,-189567000000.0
Net Income,72362000000.0,15913000000.0,86024000000.0,-189567000000.0
Net Income Including Noncontrolling Interests,72362000000.0,15913000000.0,86024000000.0,-189567000000.0
Net Income Continuous Operations,72362000000.0,15913000000.0,86024000000.0,-189567000000.0
Tax Provision,21201000000.0,4515000000.0,-76890000000.0,0.0
Pretax Income,93563000000.0,20428000000.0,9134000000.0,-189567000000.0
Other Non Operating Income Expenses,7135000000.0,7677000000.0,-2059000000.0,-2266000000.0
Special Income Charges,-366000000.0,32000000.0,690000000.0,-2101000000.0
Other Special Charges,366000000.0,-32000000.0,-690000000.0,1570000000.0
Write Off,,,0.0,531000000.0
Gain On Sale Of Security,236555000000.0,529172000000.0,126674000000.0,
Operating Expense,1090168000000.0,956815000000.0,542580000000.0,236923000000.0
Other Operating Expenses,-173903000000.0,-59469000000.0,8752000000.0,5356000000.0
Depreciation And Amortization In Income Statement,176293000000.0,99639000000.0,49006000000.0,8348000000.0
Amortization,145230000000.0,72929000000.0,28497000000.0,189000000.0
Depreciation Income Statement,31063000000.0,26710000000.0,20509000000.0,8159000000.0
Selling General And Administration,620138000000.0,570250000000.0,293011000000.0,64118000000.0
Selling And Marketing Expense,166204000000.0,174037000000.0,101506000000.0,11760000000.0
General And Administrative Expense,453934000000.0,396213000000.0,191505000000.0,52358000000.0
Insurance And Claims,28372000000.0,23486000000.0,10160000000.0,1310000000.0
Rent And Landing Fees,,,,3417000000.0
Total Revenue,1574249000000.0,1362020000000.0,609270000000.0,66053000000.0
Operating Revenue,1574249000000.0,1362020000000.0,609270000000.0,66053000000.0
