,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,-226738000000.0,-264913000000.0,-121275000000.0,44868000000.0
Reconciled Depreciation,24070000000.0,18703000000.0,10356000000.0,2000000.0
Net Interest Income,1102000000.0,139000000.0,0.0,6929000000.0
Interest Income,1102000000.0,139000000.0,0.0,6929000000.0
Normalized Income,-226738000000.0,-264913000000.0,-121275000000.0,44868000000.0
Net Income From Continuing And Discontinued Operation,-226738000000.0,-264913000000.0,-121275000000.0,44868000000.0
Diluted Average Shares,,13545283972.0,12785947587.0,14692334776.0
Basic Average Shares,,13545283972.0,12785947587.0,14692334776.0
Diluted EPS,,-20.0,-9.0,3.053837
Basic EPS,,-20.0,-9.0,3.053837
Diluted NI Availto Com Stockholders,-226738000000.0,-264913000000.0,-121275000000.0,44868000000.0
Net Income Common Stockholders,-226738000000.0,-264913000000.0,-121275000000.0,44868000000.0
Net Income,-226738000000.0,-264913000000.0,-121275000000.0,44868000000.0
Net Income Including Noncontrolling Interests,-226738000000.0,-264913000000.0,-121275000000.0,44868000000.0
Net Income Continuous Operations,-226738000000.0,-264913000000.0,-121275000000.0,44868000000.0
Tax Provision,0.0,0.0,0.0,0.0
Pretax Income,-226738000000.0,-264913000000.0,-121275000000.0,44868000000.0
Other Non Operating Income Expenses,16403000000.0,-554000000.0,1620000000.0,2397000000.0
Gain On Sale Of Security,216423000000.0,69999000000.0,36111000000.0,31277000000.0
Operating Expense,473319000000.0,295041000000.0,156317000000.0,49936000000.0
Other Operating Expenses,15879000000.0,15802000000.0,15178000000.0,6047000000.0
Depreciation And Amortization In Income Statement,24070000000.0,18703000000.0,10356000000.0,2000000.0
Depreciation Income Statement,24070000000.0,18703000000.0,10356000000.0,2000000.0
Selling General And Administration,227034000000.0,89561000000.0,35692000000.0,12217000000.0
Selling And Marketing Expense,105799000000.0,22037000000.0,4594000000.0,405000000.0
General And Administrative Expense,121235000000.0,67524000000.0,31098000000.0,11812000000.0
Insurance And Claims,2285000000.0,1275000000.0,20000000.0,39000000.0
Rent And Landing Fees,9800000000.0,7833000000.0,14720000000.0,7699000000.0
Total Revenue,242126000000.0,67773000000.0,36491000000.0,27157000000.0
Operating Revenue,242126000000.0,67773000000.0,36491000000.0,27157000000.0
