,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,889341944861.5271,700630054559.1719,323649907234.8653,542438187507.69
Tax Rate For Calcs,0.176816,0.185348,0.125403,0.350285
Total Unusual Items,5029766000000.0,3780086000000.0,2580871000000.0,1548562000000.0
Total Unusual Items Excluding Goodwill,5029766000000.0,3780086000000.0,2580871000000.0,1548562000000.0
Net Income From Continuing Operation Net Minority Interest,20909476000000.0,18312054000000.0,10898518000000.0,3280403000000.0
Reconciled Depreciation,2304524000000.0,2250499000000.0,2006916000000.0,2576716000000.0
Net Interest Income,41275673000000.0,41320692000000.0,37971680000000.0,34037459000000.0
Interest Expense,20196023000000.0,13337989000000.0,11720943000000.0,18106599000000.0
Interest Income,61471696000000.0,54658681000000.0,49692623000000.0,52144058000000.0
Normalized Income,16769051944861.527,15232598054559.172,8641296907234.865,2274279187507.69
Net Income From Continuing And Discontinued Operation,20909476000000.0,18312054000000.0,10898518000000.0,3280403000000.0
Diluted Average Shares,37256798316.0,18638372041.0,37240298032.0,37264680082.0
Basic Average Shares,37256798316.0,18638372041.0,37240298032.0,37264680082.0
Diluted EPS,561.0,983.0,292.5,88.0
Basic EPS,561.0,983.0,292.5,88.0
Diluted NI Availto Com Stockholders,20909476000000.0,18312054000000.0,10898518000000.0,3280403000000.0
Net Income Common Stockholders,20909476000000.0,18312054000000.0,10898518000000.0,3280403000000.0
Net Income,20909476000000.0,18312054000000.0,10898518000000.0,3280403000000.0
Minority Interests,-196752000000.0,-169726000000.0,-78533000000.0,-41039000000.0
Net Income Including Noncontrolling Interests,21106228000000.0,18481780000000.0,10977051000000.0,3321442000000.0
Net Income Continuous Operations,21106228000000.0,18481780000000.0,10977051000000.0,3321442000000.0
Tax Provision,4533510000000.0,4204928000000.0,1573936000000.0,1790711000000.0
Pretax Income,25639738000000.0,22686708000000.0,12550987000000.0,5112153000000.0
Other Non Operating Income Expenses,-133598000000.0,-212147000000.0,-216297000000.0,-119291000000.0
Special Income Charges,5029766000000.0,3780086000000.0,2580871000000.0,1548562000000.0
Write Off,-5029766000000.0,-3780086000000.0,-2580871000000.0,-1548562000000.0
Gain On Sale Of Security,1253245000000.0,1347383000000.0,1990507000000.0,4549153000000.0
Operating Expense,32971438000000.0,31729277000000.0,29288639000000.0,28073167000000.0
Other Operating Expenses,3332115000000.0,3351217000000.0,2730478000000.0,3269841000000.0
Depreciation And Amortization In Income Statement,2304524000000.0,2250499000000.0,2006916000000.0,2576716000000.0
Depreciation Income Statement,2304524000000.0,2250499000000.0,2006916000000.0,2576716000000.0
Selling General And Administration,7029314000000.0,6783867000000.0,6756402000000.0,6614399000000.0
Selling And Marketing Expense,1066423000000.0,1116323000000.0,921654000000.0,1030410000000.0
General And Administrative Expense,5962891000000.0,5667544000000.0,5834748000000.0,5583989000000.0
Insurance And Claims,6670017000000.0,6081934000000.0,5781150000000.0,5048031000000.0
Rent And Landing Fees,801699000000.0,805738000000.0,818425000000.0,813399000000.0
Total Revenue,61583542000000.0,61278886000000.0,57073869000000.0,54346484000000.0
Operating Revenue,61583542000000.0,61278886000000.0,57073869000000.0,54346484000000.0
