,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,3446976821224.814,2566980933619.164,1698683604669.5378,2147455442731.9124
Tax Rate For Calcs,0.209404,0.204167,0.191149,0.298465
Total Unusual Items,16460917000000.0,12572967000000.0,8886681000000.0,7195008000000.0
Total Unusual Items Excluding Goodwill,16460917000000.0,12572967000000.0,8886681000000.0,7195008000000.0
Net Income From Continuing Operation Net Minority Interest,60099863000000.0,51170312000000.0,31066592000000.0,18654753000000.0
Reconciled Depreciation,3726291000000.0,3614805000000.0,2759154000000.0,3199102000000.0
Net Interest Income,123393523000000.0,115487072000000.0,109129605000000.0,89027212000000.0
Interest Expense,42658864000000.0,26269701000000.0,28135797000000.0,39883405000000.0
Interest Income,166052387000000.0,141756773000000.0,137265402000000.0,128910617000000.0
Normalized Income,47085922821224.81,41164325933619.164,23878594604669.54,13607200442731.912
Net Income From Continuing And Discontinued Operation,60099863000000.0,51170312000000.0,31066592000000.0,18654753000000.0
Diluted Average Shares,,151408935437.0,130573540067.0,123315310640.0
Basic Average Shares,,151386393314.0,130552591419.0,122564847240.0
Diluted EPS,,338.0,238.0,151.0
Basic EPS,,338.0,238.0,152.0
Diluted NI Availto Com Stockholders,60099863000000.0,51170312000000.0,31066592000000.0,18654753000000.0
Net Income Common Stockholders,60099863000000.0,51170312000000.0,31066592000000.0,18654753000000.0
Net Income,60099863000000.0,51170312000000.0,31066592000000.0,18654753000000.0
Minority Interests,-325185000000.0,-237895000000.0,310826000000.0,-5640000000.0
Net Income Including Noncontrolling Interests,60425048000000.0,51408207000000.0,30755766000000.0,18660393000000.0
Net Income Continuous Operations,60425048000000.0,51408207000000.0,30755766000000.0,18660393000000.0
Tax Provision,16004664000000.0,13188494000000.0,7835608000000.0,8951971000000.0
Pretax Income,76429712000000.0,64596701000000.0,40992065000000.0,29993406000000.0
Other Non Operating Income Expenses,-524670000000.0,41828000000.0,-197856000000.0,168567000000.0
Special Income Charges,16460917000000.0,12572967000000.0,8886681000000.0,7195008000000.0
Other Special Charges,-125187000000.0,-242077000000.0,-44164000000.0,-41211000000.0
Write Off,-16335730000000.0,-12330890000000.0,-8842517000000.0,-7153797000000.0
Gain On Sale Of Security,13903052000000.0,10773712000000.0,8537676000000.0,7770583000000.0
Operating Expense,76782291000000.0,74316012000000.0,75918108000000.0,67503849000000.0
Other Operating Expenses,10663787000000.0,9246455000000.0,14967255000000.0,13579329000000.0
Depreciation And Amortization In Income Statement,3726291000000.0,3614805000000.0,2759154000000.0,3199102000000.0
Depreciation Income Statement,3726291000000.0,3614805000000.0,2759154000000.0,3199102000000.0
Selling General And Administration,22730404000000.0,19993014000000.0,18596318000000.0,15475200000000.0
General And Administrative Expense,22730404000000.0,19993014000000.0,18596318000000.0,15475200000000.0
Insurance And Claims,,7359672000000.0,5946708000000.0,5327065000000.0
Rent And Landing Fees,1811534000000.0,2071605000000.0,1548255000000.0,2144949000000.0
Total Revenue,166475993000000.0,153783233000000.0,147808205000000.0,124141782000000.0
Operating Revenue,166475993000000.0,153783233000000.0,147808205000000.0,124141782000000.0
