,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,4817423.822146,521213137.273621,-86401719813.1172,0.0
Tax Rate For Calcs,0.200726,0.214315,0.206157,0.294382
Total Unusual Items,24000000.0,2432000000.0,-419107000000.0,0.0
Total Unusual Items Excluding Goodwill,24000000.0,2432000000.0,-419107000000.0,0.0
Net Income From Continuing Operation Net Minority Interest,3500988000000.0,3045073000000.0,2376227000000.0,1602358000000.0
Reconciled Depreciation,716725000000.0,629060000000.0,556034000000.0,528767000000.0
Net Interest Income,11316104000000.0,13196477000000.0,11565544000000.0,8112614000000.0
Interest Expense,13406425000000.0,10036723000000.0,11848313000000.0,14834638000000.0
Interest Income,24722529000000.0,23233200000000.0,23413857000000.0,22947252000000.0
Normalized Income,3500968817423.8223,3043162213137.2734,2708932280186.883,1602358000000.0
Net Income From Continuing And Discontinued Operation,3500988000000.0,3045073000000.0,2376227000000.0,1602358000000.0
Diluted Average Shares,14022000000.0,10590000000.0,12245566544.0,11920263782.0
Basic Average Shares,14022000000.0,10590000000.0,11920263783.0,11920263782.0
Diluted EPS,249.0,288.0,193.671889,134.148877
Basic EPS,249.0,288.0,199.002308,134.148877
Diluted NI Availto Com Stockholders,3500988000000.0,3045073000000.0,2376227000000.0,1602358000000.0
Net Income Common Stockholders,3500988000000.0,3045073000000.0,2376227000000.0,1602358000000.0
Net Income,3500988000000.0,3045073000000.0,2376227000000.0,1602358000000.0
Net Income Including Noncontrolling Interests,3500988000000.0,3045073000000.0,2376227000000.0,1602358000000.0
Net Income Continuous Operations,3500988000000.0,3045073000000.0,2376227000000.0,1602358000000.0
Tax Provision,879222000000.0,830617000000.0,617093000000.0,668499000000.0
Pretax Income,4380210000000.0,3875690000000.0,2993320000000.0,2270857000000.0
Other Non Operating Income Expenses,-159659000000.0,60687000000.0,-43763000000.0,-59533000000.0
Special Income Charges,24000000.0,2432000000.0,-419107000000.0,0.0
Other Special Charges,,,418931000000.0,
Write Off,-24000000.0,-2432000000.0,176000000.0,0.0
Gain On Sale Of Security,2658269000000.0,1290597000000.0,2167056000000.0,1581960000000.0
Operating Expense,8907404000000.0,8750884000000.0,8158233000000.0,6747464000000.0
Other Operating Expenses,383348000000.0,206567000000.0,396795000000.0,186636000000.0
Depreciation And Amortization In Income Statement,716725000000.0,629060000000.0,556034000000.0,528767000000.0
Depreciation Income Statement,716725000000.0,629060000000.0,556034000000.0,528767000000.0
Selling General And Administration,2810531000000.0,2736488000000.0,2335156000000.0,2144993000000.0
Selling And Marketing Expense,537253000000.0,469580000000.0,340301000000.0,268326000000.0
General And Administrative Expense,2273278000000.0,2266908000000.0,1994855000000.0,1876667000000.0
Insurance And Claims,656774000000.0,599991000000.0,619667000000.0,469360000000.0
Rent And Landing Fees,357523000000.0,388480000000.0,467656000000.0,440500000000.0
Total Revenue,16287825000000.0,16223114000000.0,14927306000000.0,11063353000000.0
Operating Revenue,16287825000000.0,16223114000000.0,14927306000000.0,11063353000000.0
