,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-78786217.135528,-379940000.0,-71406797.116375,682467330.5
Tax Rate For Calcs,0.001206,0.22,0.004171,0.25
Total Unusual Items,-65337000000.0,-1727000000.0,-17120000000.0,2729869322.0
Total Unusual Items Excluding Goodwill,-65337000000.0,-1727000000.0,-17120000000.0,2729869322.0
Net Income From Continuing Operation Net Minority Interest,-573180000000.0,-789059000000.0,-986289000000.0,15871502695.0
Reconciled Depreciation,63674000000.0,57065000000.0,41171000000.0,31748941966.0
Net Interest Income,1793916000000.0,1153981000000.0,291707000000.0,156182163502.0
Interest Expense,947538000000.0,716069000000.0,353458000000.0,276969580433.0
Interest Income,2741454000000.0,1870050000000.0,645165000000.0,433151743935.0
Normalized Income,-507921786217.1355,-787711940000.0,-969240406797.1163,13824100703.5
Net Income From Continuing And Discontinued Operation,-573180000000.0,-789059000000.0,-986289000000.0,15871502695.0
Diluted Average Shares,,9422000000.0,8646000000.0,6516108598.0
Basic Average Shares,,9422000000.0,8646000000.0,6516108598.0
Diluted EPS,,-83.75,-114.07,2.439133
Basic EPS,,-83.75,-114.07,2.439133
Diluted NI Availto Com Stockholders,-573180000000.0,-789059000000.0,-986289000000.0,15871502695.0
Net Income Common Stockholders,-573180000000.0,-789059000000.0,-986289000000.0,15871502695.0
Net Income,-573180000000.0,-789059000000.0,-986289000000.0,15871502695.0
Net Income Including Noncontrolling Interests,-573180000000.0,-789059000000.0,-986289000000.0,15871502695.0
Net Income Continuous Operations,-573180000000.0,-789059000000.0,-986289000000.0,15871502695.0
Tax Provision,-692000000.0,3117000000.0,-4131000000.0,-44144050.0
Pretax Income,-573872000000.0,-785942000000.0,-990420000000.0,15827358645.0
Other Non Operating Income Expenses,1003000000.0,-664000000.0,-3956000000.0,-941827715.0
Special Income Charges,-65337000000.0,-1727000000.0,-17120000000.0,2729869322.0
Other Special Charges,1882000000.0,413000000.0,-122000000.0,362534521.0
Write Off,63455000000.0,1314000000.0,15942000000.0,-3092403843.0
Impairment Of Capital Assets,,0.0,1300000000.0,0.0
Operating Expense,1339917000000.0,1594658000000.0,1231469000000.0,202512906670.0
Other Operating Expenses,400021000000.0,145940000000.0,0.0,0.0
Depreciation And Amortization In Income Statement,63674000000.0,57065000000.0,41171000000.0,31748941966.0
Amortization,13701000000.0,12064000000.0,6401000000.0,4768144800.0
Depreciation Income Statement,49973000000.0,45001000000.0,34770000000.0,26980797166.0
Selling General And Administration,428626000000.0,1003870000000.0,1003101000000.0,63071769473.0
Selling And Marketing Expense,88513000000.0,284208000000.0,535973000000.0,9703855947.0
General And Administrative Expense,340113000000.0,719662000000.0,467128000000.0,53367913526.0
Insurance And Claims,34271000000.0,22124000000.0,9424000000.0,7378497210.0
Rent And Landing Fees,97158000000.0,123163000000.0,5484000000.0,3833215322.0
Total Revenue,3224283000000.0,1753052000000.0,438017000000.0,241390831292.0
Operating Revenue,3224283000000.0,1753052000000.0,438017000000.0,241390831292.0
