,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,3073358455.856681,-19670931287.118603,-32425745603.24055,2436959573.522988
Tax Rate For Calcs,0.19593,0.202657,0.203536,0.245711
Total Unusual Items,15686000000.0,-97065000000.0,-159312000000.0,9918000000.0
Total Unusual Items Excluding Goodwill,15686000000.0,-97065000000.0,-159312000000.0,9918000000.0
Net Income From Continuing Operation Net Minority Interest,55060057000000.0,41170637000000.0,28028155000000.0,16799515000000.0
Reconciled Depreciation,4566902000000.0,4513637000000.0,3569621000000.0,3933691000000.0
Net Interest Income,83654984000000.0,76244928000000.0,63105175000000.0,53962592000000.0
Interest Expense,30733842000000.0,20510620000000.0,20504734000000.0,28273679000000.0
Interest Income,114388826000000.0,96755548000000.0,83609909000000.0,82236271000000.0
Normalized Income,55047444358455.86,41248031068712.88,28155041254396.758,16792033959573.523
Net Income From Continuing And Discontinued Operation,55060057000000.0,41170637000000.0,28028155000000.0,16799515000000.0
Diluted Average Shares,,93302714482.0,93262533332.0,93283473332.0
Basic Average Shares,,93302714482.0,93262533332.0,93283473332.0
Diluted EPS,,441.26,300.53,180.09
Basic EPS,,441.26,300.53,180.09
Diluted NI Availto Com Stockholders,55060057000000.0,41170637000000.0,28028155000000.0,16799515000000.0
Net Income Common Stockholders,55060057000000.0,41170637000000.0,28028155000000.0,16799515000000.0
Net Income,55060057000000.0,41170637000000.0,28028155000000.0,16799515000000.0
Minority Interests,-4991813000000.0,-3781731000000.0,-2522942000000.0,-1599413000000.0
Net Income Including Noncontrolling Interests,60051870000000.0,44952368000000.0,30551097000000.0,18398928000000.0
Net Income Continuous Operations,60051870000000.0,44952368000000.0,30551097000000.0,18398928000000.0
Tax Provision,14633011000000.0,11425358000000.0,7807324000000.0,5993477000000.0
Pretax Income,74684881000000.0,56377726000000.0,38358421000000.0,24392405000000.0
Other Non Operating Income Expenses,34694000000.0,206816000000.0,32304000000.0,127000000000.0
Special Income Charges,15686000000.0,-97065000000.0,-159312000000.0,9918000000.0
Other Special Charges,-29075000000.0,-14174000000.0,114086000000.0,-9918000000.0
Write Off,,,-204947000000.0,168321000000.0
Impairment Of Capital Assets,13389000000.0,111239000000.0,45226000000.0,
Gain On Sale Of Security,13877564000000.0,13353899000000.0,14083745000000.0,10540069000000.0
Operating Expense,50624633000000.0,50741269000000.0,46848264000000.0,43046132000000.0
Other Operating Expenses,794898000000.0,1447501000000.0,2614333000000.0,2080075000000.0
Depreciation And Amortization In Income Statement,4566902000000.0,4513637000000.0,3569621000000.0,3933691000000.0
Amortization,1153670000000.0,1095451000000.0,805226000000.0,855114000000.0
Depreciation Income Statement,3413232000000.0,3418186000000.0,2764395000000.0,3078577000000.0
Selling General And Administration,16645941000000.0,16135159000000.0,14495078000000.0,13715544000000.0
Selling And Marketing Expense,2303064000000.0,2077000000000.0,1437972000000.0,1392679000000.0
General And Administrative Expense,14342877000000.0,14058159000000.0,13057106000000.0,12322865000000.0
Insurance And Claims,3060846000000.0,2777783000000.0,2550365000000.0,2345492000000.0
Rent And Landing Fees,813808000000.0,897454000000.0,931795000000.0,1000307000000.0
Total Revenue,123235528000000.0,114771950000000.0,98919249000000.0,87092537000000.0
Operating Revenue,123235528000000.0,114771950000000.0,98919249000000.0,87092537000000.0
