,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-32538545208.651817,-54636792997.83018,-8944980904.232592,-13452570303.519688
Tax Rate For Calcs,0.216084,0.225336,0.210455,0.317622
Total Unusual Items,-150583000000.0,-242468000000.0,-42503000000.0,-42354000000.0
Total Unusual Items Excluding Goodwill,-150583000000.0,-242468000000.0,-42503000000.0,-42354000000.0
Net Income From Continuing Operation Net Minority Interest,6474195000000.0,5041781000000.0,4100340000000.0,2012401000000.0
Reconciled Depreciation,124862000000.0,124669000000.0,131284000000.0,139754000000.0
Net Interest Income,13352383000000.0,13476138000000.0,13088860000000.0,12470518000000.0
Interest Expense,8953617000000.0,5638056000000.0,5774091000000.0,8232581000000.0
Interest Income,22306000000000.0,19114194000000.0,18862951000000.0,20703099000000.0
Normalized Income,6592239454791.349,5229612207002.17,4133898019095.7676,2041302429696.4802
Net Income From Continuing And Discontinued Operation,6474195000000.0,5041781000000.0,4100340000000.0,2012401000000.0
Diluted Average Shares,,24932886000.0,24929200000.0,24929274000.0
Basic Average Shares,,24932886000.0,24929200000.0,24929274000.0
Diluted EPS,,202.21,164.48,80.72
Basic EPS,,202.21,164.48,80.72
Diluted NI Availto Com Stockholders,6474195000000.0,5041781000000.0,4100340000000.0,2012401000000.0
Net Income Common Stockholders,6474195000000.0,5041781000000.0,4100340000000.0,2012401000000.0
Net Income,6474195000000.0,5041781000000.0,4100340000000.0,2012401000000.0
Minority Interests,-77206000000.0,-54990000000.0,1736000000.0,1147000000.0
Net Income Including Noncontrolling Interests,6551401000000.0,5096771000000.0,4098604000000.0,2011254000000.0
Net Income Continuous Operations,6551401000000.0,5096771000000.0,4098604000000.0,2011254000000.0
Tax Provision,1805871000000.0,1482561000000.0,1092494000000.0,936166000000.0
Pretax Income,8357272000000.0,6579332000000.0,5191098000000.0,2947420000000.0
Other Non Operating Income Expenses,151221000000.0,8006000000.0,64777000000.0,87979000000.0
Special Income Charges,-150583000000.0,-242468000000.0,-42503000000.0,-42354000000.0
Other Special Charges,-5076000000.0,3580000000.0,-2267000000.0,-1838000000.0
Write Off,155659000000.0,238888000000.0,44770000000.0,44192000000.0
Gain On Sale Of Security,630281000000.0,742817000000.0,999194000000.0,859289000000.0
Operating Expense,8583527000000.0,8483650000000.0,8279237000000.0,8100784000000.0
Other Operating Expenses,20346000000.0,50258000000.0,104548000000.0,203425000000.0
Depreciation And Amortization In Income Statement,124862000000.0,124669000000.0,131284000000.0,139754000000.0
Depreciation Income Statement,124862000000.0,124669000000.0,131284000000.0,139754000000.0
Selling General And Administration,2815407000000.0,2774010000000.0,2618537000000.0,2563371000000.0
Selling And Marketing Expense,419824000000.0,333202000000.0,283745000000.0,234239000000.0
General And Administrative Expense,2395583000000.0,2440808000000.0,2334792000000.0,2329132000000.0
Insurance And Claims,6817000000.0,8353000000.0,8694000000.0,7373000000.0
Rent And Landing Fees,668683000000.0,851253000000.0,934497000000.0,916091000000.0
Total Revenue,18761469000000.0,18871819000000.0,17726132000000.0,16210736000000.0
Operating Revenue,18761469000000.0,18871819000000.0,17726132000000.0,16210736000000.0
