,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,6889232632.100187,-11785076764.150116,23163841193.262383,-4214920265.285531
Tax Rate For Calcs,0.24844,0.246813,0.254542,0.289586
Total Unusual Items,27730000000.0,-47749000000.0,91002000000.0,-14555000000.0
Total Unusual Items Excluding Goodwill,27730000000.0,-47749000000.0,91002000000.0,-14555000000.0
Net Income From Continuing Operation Net Minority Interest,5703743000000.0,4260182000000.0,3028205000000.0,2187649000000.0
Reconciled Depreciation,837672000000.0,701792000000.0,1166940000000.0,1340813000000.0
Normalized Income,5682902232632.101,4296145923235.85,2960366841193.262,2197989079734.7144
Net Income From Continuing And Discontinued Operation,5703743000000.0,4260182000000.0,3028205000000.0,2187649000000.0
Diluted Average Shares,,41545970076.0,41109280978.0,41918469874.0
Basic Average Shares,,41545970076.0,41096058485.0,41912412767.0
Diluted EPS,,102.54,73.66,52.188776
Basic EPS,,102.54,73.69,52.198529
Diluted NI Availto Com Stockholders,5703743000000.0,4260182000000.0,3028205000000.0,2187649000000.0
Net Income Common Stockholders,5703743000000.0,4260182000000.0,3028205000000.0,2187649000000.0
Net Income,5703743000000.0,4260182000000.0,3028205000000.0,2187649000000.0
Net Income Including Noncontrolling Interests,5703743000000.0,4260182000000.0,3028205000000.0,2187649000000.0
Net Income Continuous Operations,5703743000000.0,4260182000000.0,3028205000000.0,2187649000000.0
Tax Provision,1885459000000.0,1396026000000.0,1034003000000.0,891750000000.0
Pretax Income,7589202000000.0,5656208000000.0,4062208000000.0,3079399000000.0
Other Non Operating Income Expenses,-2156000000.0,8534000000.0,-45641000000.0,-10430000000.0
Special Income Charges,27730000000.0,-47749000000.0,91002000000.0,-14555000000.0
Write Off,-27730000000.0,47749000000.0,-91002000000.0,14555000000.0
Gain On Sale Of Security,16345239000000.0,15571237000000.0,13430039000000.0,11834701000000.0
Operating Expense,9718928000000.0,9392870000000.0,8900391000000.0,8363069000000.0
Other Operating Expenses,166892000000.0,193841000000.0,303159000000.0,397221000000.0
Depreciation And Amortization In Income Statement,837672000000.0,701792000000.0,1166940000000.0,1340813000000.0
Depreciation Income Statement,837672000000.0,701792000000.0,1166940000000.0,1340813000000.0
Selling General And Administration,3276781000000.0,3201028000000.0,2531045000000.0,2005094000000.0
Selling And Marketing Expense,679093000000.0,502527000000.0,271172000000.0,189721000000.0
General And Administrative Expense,2597688000000.0,2698501000000.0,2259873000000.0,1815373000000.0
Insurance And Claims,91006000000.0,27316000000.0,76281000000.0,108015000000.0
Rent And Landing Fees,310255000000.0,308771000000.0,287234000000.0,242572000000.0
Total Revenue,18719311000000.0,17782936000000.0,15803736000000.0,14549346000000.0
Operating Revenue,18719311000000.0,17782936000000.0,15803736000000.0,14549346000000.0
