,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-73956899.912474,-75655844.091272,-628233061.073178,-142868282.632845
Tax Rate For Calcs,0.191598,0.193989,0.19072,0.190237
Total Unusual Items,-386000000.0,-390000000.0,-3294000000.0,-751000000.0
Total Unusual Items Excluding Goodwill,-386000000.0,-390000000.0,-3294000000.0,-751000000.0
Net Income From Continuing Operation Net Minority Interest,3510670000000.0,4052678000000.0,4008051000000.0,3008311000000.0
Reconciled Depreciation,315652000000.0,274743000000.0,267441000000.0,301766000000.0
Net Interest Income,5532145000000.0,5869126000000.0,4841076000000.0,3913443000000.0
Interest Expense,4685387000000.0,3199931000000.0,3269215000000.0,4132838000000.0
Interest Income,10217532000000.0,9069057000000.0,8110291000000.0,8046281000000.0
Normalized Income,3510982043100.0874,4052992344155.9087,4010716766938.927,3008919131717.367
Net Income From Continuing And Discontinued Operation,3510670000000.0,4052678000000.0,4008051000000.0,3008311000000.0
Diluted Average Shares,,11740923365.0,11740923365.0,12145610865.0
Basic Average Shares,,11740923365.0,11740923365.0,12145610865.0
Diluted EPS,,345.0,341.0,247.690373
Basic EPS,,345.0,341.0,247.690373
Diluted NI Availto Com Stockholders,3510670000000.0,4052678000000.0,4008051000000.0,3008311000000.0
Net Income Common Stockholders,3510670000000.0,4052678000000.0,4008051000000.0,3008311000000.0
Net Income,3510670000000.0,4052678000000.0,4008051000000.0,3008311000000.0
Net Income Including Noncontrolling Interests,3510670000000.0,4052678000000.0,4008051000000.0,3008311000000.0
Net Income Continuous Operations,3510670000000.0,4052678000000.0,4008051000000.0,3008311000000.0
Tax Provision,832059000000.0,975392000000.0,944565000000.0,706742000000.0
Pretax Income,4342729000000.0,5028070000000.0,4952616000000.0,3715053000000.0
Other Non Operating Income Expenses,10251000000.0,26508000000.0,9309000000.0,-20204000000.0
Special Income Charges,-386000000.0,-390000000.0,-3294000000.0,-751000000.0
Write Off,386000000.0,390000000.0,3294000000.0,751000000.0
Gain On Sale Of Security,550160000000.0,432204000000.0,942273000000.0,966066000000.0
Operating Expense,2687695000000.0,2489042000000.0,2398047000000.0,2441147000000.0
Other Operating Expenses,95939000000.0,85779000000.0,67209000000.0,88534000000.0
Depreciation And Amortization In Income Statement,315652000000.0,274743000000.0,267441000000.0,301766000000.0
Depreciation Income Statement,315652000000.0,274743000000.0,267441000000.0,301766000000.0
Selling General And Administration,779640000000.0,730625000000.0,694330000000.0,740453000000.0
Selling And Marketing Expense,198105000000.0,149799000000.0,123312000000.0,118334000000.0
General And Administrative Expense,581535000000.0,580826000000.0,571018000000.0,622119000000.0
Insurance And Claims,8900000000.0,11346000000.0,11451000000.0,12404000000.0
Rent And Landing Fees,24177000000.0,27796000000.0,34930000000.0,29198000000.0
Total Revenue,7215562000000.0,7638498000000.0,7446490000000.0,6290488000000.0
Operating Revenue,7215562000000.0,7638498000000.0,7446490000000.0,6290488000000.0
