,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-61268865056.99819,-58365066573.953255,-369656788.892662,-48146250153.778206
Tax Rate For Calcs,0.210903,0.211257,0.213551,0.245321
Total Unusual Items,-290507000000.0,-276275000000.0,-1731000000.0,-196258000000.0
Total Unusual Items Excluding Goodwill,-290507000000.0,-276275000000.0,-1731000000.0,-196258000000.0
Net Income From Continuing Operation Net Minority Interest,4091028000000.0,3326917000000.0,2519574000000.0,2101670000000.0
Reconciled Depreciation,316119000000.0,259317000000.0,236758000000.0,213074000000.0
Net Interest Income,9435981000000.0,8429148000000.0,7289169000000.0,7112768000000.0
Interest Expense,6096581000000.0,3798077000000.0,3926987000000.0,5371894000000.0
Interest Income,15532562000000.0,12227225000000.0,11216156000000.0,12484662000000.0
Normalized Income,4320266134943.002,3544826933426.047,2520935343211.1074,2249781749846.2217
Net Income From Continuing And Discontinued Operation,4091028000000.0,3326917000000.0,2519574000000.0,2101670000000.0
Diluted Average Shares,22945296972.0,22945296972.0,22945296972.0,22945296972.0
Basic Average Shares,22945296972.0,22945296972.0,22945296972.0,22945296972.0
Diluted EPS,178.3,144.99,109.81,91.59
Basic EPS,178.3,144.99,109.81,91.59
Diluted NI Availto Com Stockholders,4091028000000.0,3326917000000.0,2519574000000.0,2101670000000.0
Net Income Common Stockholders,4091028000000.0,3326917000000.0,2519574000000.0,2101670000000.0
Net Income,4091028000000.0,3326917000000.0,2519574000000.0,2101670000000.0
Minority Interests,-15000000.0,-13000000.0,-45000000.0,-1000000.0
Net Income Including Noncontrolling Interests,4091043000000.0,3326930000000.0,2519619000000.0,2101671000000.0
Net Income Continuous Operations,4091043000000.0,3326930000000.0,2519619000000.0,2101671000000.0
Tax Provision,1093420000000.0,891086000000.0,684173000000.0,683184000000.0
Pretax Income,5184463000000.0,4218016000000.0,3203792000000.0,2784855000000.0
Other Non Operating Income Expenses,2377000000.0,1731000000.0,1215000000.0,1003000000.0
Special Income Charges,-290507000000.0,-276275000000.0,-1731000000.0,-196258000000.0
Other Special Charges,-3493000000.0,-329000000.0,543000000.0,109692000000.0
Write Off,298719000000.0,276604000000.0,-600000000.0,86566000000.0
Impairment Of Capital Assets,-4719000000.0,0.0,1788000000.0,0.0
Gain On Sale Of Security,828383000000.0,786452000000.0,1037524000000.0,883624000000.0
Operating Expense,5011095000000.0,4667523000000.0,4214269000000.0,4125764000000.0
Other Operating Expenses,275092000000.0,230538000000.0,190414000000.0,188251000000.0
Depreciation And Amortization In Income Statement,316119000000.0,259317000000.0,236758000000.0,213074000000.0
Depreciation Income Statement,316119000000.0,259317000000.0,236758000000.0,213074000000.0
Selling General And Administration,1162140000000.0,1024706000000.0,922899000000.0,909728000000.0
Selling And Marketing Expense,292389000000.0,220938000000.0,205572000000.0,179405000000.0
General And Administrative Expense,869751000000.0,803768000000.0,717327000000.0,730323000000.0
Insurance And Claims,377851000000.0,446614000000.0,422779000000.0,386349000000.0
Rent And Landing Fees,73923000000.0,96771000000.0,110354000000.0,121877000000.0
Total Revenue,11316512000000.0,10606514000000.0,9704626000000.0,9487366000000.0
Operating Revenue,11316512000000.0,10606514000000.0,9704626000000.0,9487366000000.0
